연번,해수욕장명,관리청,시도 주소,시군구 주소,읍면동 주소,이하 주소,개장일,폐장일,주요행사1,주요행사2,주요행사3,주요행사4,주요행사5,주요행사6,주요행사7,주요행사8,홈페이지,연락처
1,해운대,해운대구,부산광역시,해운대구,우1동,620-3,06-01,08-31,개장식(6.1),부산국제무용제(6.7~6.9),해비시 극장(6월~9월),달빛바다소극장(7.26~8.11),부산바다축제(8.1~8.5),코스프레페스티벌(8월),하와이안페스티벌(8.31~9.1),-,http://sunnfun.haeundae.go.kr,051-749-7612
2, 송정,해운대구,부산광역시,해운대구,송정동,-,06-01,08-31,개장식(6.1),송정 별바다 과학 축제(6.14~6.16),송정해변축제(8.3~8.4),-,-,-,-,-,http://sunnfun.haeundae.go.kr,051-749-7612
3,송도,서구,부산광역시,서구,암남동,-,06-01,08-31,송도 청소년 스포츠 대회(6.8),송도 페스티벌(7월 말~8월 초),송도 여름바다축제 및 현인가요제(8.2~8.4),-,-,-,-,-,http://www.bsseogu.go.kr/,051-240-4126
4,다대포,사하구,부산광역시,사하구,다대동,-,07-01,08-31,워터락콘서트(7.1~8.25),다대포해변가요제(7.27),7080가족사랑콘서트(8월),제16회 청소년 바다축제(8.4),-,-,-,-,http://www.saha.go.kr/tour/contents.do?mId=0101030000,051-220-4161
5,광안리,수영구,부산광역시,수영구,광안2동,-,07-01,08-31,광대연극제(8월 중순),SUP WEEK(8.26~9.1),해양스포츠 운영(7~8월),부산물총축제(8월중순),We Love 광안리음악회(7.26),달빛수영&아랏길 축제(8월말),어린이 조개잡이체험(7월말),수영구 어린이 워터파크운영(6월말~8.31(월요일미운영)),http://www.suyeong.go.kr/gwangalli/main.asp,051-610-4744
6,일광,기장군,부산광역시,기장군,일광면,-,07-01,08-31,제17회 일광낭만가요제 (7.31~8.1),제23회 기장갯마을축제 (8.2~8.4),-,-,-,-,-,-,http://www.gijang.go.kr/tour/board/view.gijang?boardId=BBS_0000018&menuCd=DOM_000000201001000000&startPage=1&categoryCode1=B001&categoryCode2=B001002&dataSid=72,051-709-4421
7,임랑,기장군,부산광역시,기장군,장안읍,-,07-01,08-31,기장임랑썸머뮤직페스티벌 (8월중),-,-,-,-,-,-,-,http://www.gijang.go.kr/tour/board/view.gijang?boardId=BBS_0000018&menuCd=DOM_000000201001000000&startPage=1&categoryCode1=B001&categoryCode2=B001002&dataSid=77,051-709-4421
8,을왕리,중구,인천광역시,중구,을왕동,-,07-01,08-31,버스킹(7월),-,-,-,-,-,-,-,-,032-760-8958
9,왕산,중구,인천광역시,중구,무의동,-,07-01,08-31,-,-,-,-,-,-,-,-,-,032-760-8958
10,하나개,중구,인천광역시,중구,무의동,-,07-01,08-31,-,-,-,-,-,-,-,-,-,032-760-8958
11,옹암,옹진군,인천광역시,옹진군,북도면,장봉리,미정(작년기준 7.15),미정(작년기준 8.26),-,-,-,-,-,-,-,-,-,032-233-2255
12,수기,옹진군,인천광역시,옹진군,북도면,시도리,미정(작년기준 7.15),미정(작년기준 8.26),-,-,-,-,-,-,-,-,-,032-233-2255
13,서포리,옹진군,인천광역시,옹진군,덕적면,-,미정(작년기준 7.15),미정(작년기준 8.26),-,-,-,-,-,-,-,-,-,032-233-2255
14,때뿌루,옹진군,인천광역시,옹진군,덕적면,소야리,미정(작년기준 7.15),미정(작년기준 8.26),-,-,-,-,-,-,-,-,-,032-233-2255
15,장 골,옹진군,인천광역시,옹진군,자월면,자월리,미정(작년기준 7.15),미정(작년기준 8.26),-,-,-,-,-,-,-,-,-,032-233-2255
16,이일레,옹진군,인천광역시,옹진군,자월면,승봉리,미정(작년기준 7.15),미정(작년기준 8.26),-,-,-,-,-,-,-,-,-,032-233-2255
17,십리포,옹진군,인천광역시,옹진군,영흥면,내리 734,미정(작년기준 6.23),미정(작년기준 8.26),-,-,-,-,-,-,-,-,-,032-233-2255
18,장경리,옹진군,인천광역시,옹진군,영흥면,내리,미정(작년기준 6.23),미정(작년기준 8.26),-,-,-,-,-,-,-,-,-,032-233-2255
